id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
421,New Creation Church,Non-Profit ,http://www.newcreation.org.sg/,"At New Creation Church, we believe we are God’s beloved. He demonstrated this by freely giving up heaven’s best, His only Son Jesus, for you and me. When we catch a revelation of this truth, we are transformed by His grace from the inside out. That’s the beauty of believing and living in Daddy God’s love and grace! No matter who you are or where you come from, there’s always a place for you in our church family!",Volunteering Opportunities,"Volunteer in Logistics & Transport
Media Communications,
Outreach,
Royal service etc.
",Ad hoc,"For Chinese ministry-Befriender,admin,medical. (serve on service days or Ad-hoc basis)","Depends on which volunteering areas,(e.g. Royal service criteria)", NA ,New Creation Church,51 Cuppage Road ,#09-01 ,Singapore 229469,"Mon–Fri, 9am–6pm",Central,outreach@newcreation.org.sg,6338 4565
422,Buddhist Fellowship (West),Non-Profit ,http://www.buddhistfellowship.org,"Buddhist Fellowship (BF) is a non-sectarian Buddhist organisation whose aim is to serve all. Its membership consists of like minded Buddhist practitioners from various traditions who share the vision of propagating the Dharma in new and creative ways whilst promoting fellowship amongst Buddhist. Buddhist Fellowship is also seen as a catalyst of positive change in the Buddhist Community. Recognising how the world has changed and yet the Dharma remains relevant, Buddhist Fellowship strives to ensure that the Dharma is propagated in contemporary language and form. Buddhist Fellowship prides itself in being an organisation that dares to be different... embarking on new, revolutionary projects and activities that benefit the community and constantly striving to meet the needs of its members.",Learning and Enrichment,Toastmasters@BF,Once a month (Every 3rd Wednesday),7.30pm to 10.00pm,NA, Free ,Buddhist Fellowship West Centre (main centre),2 Telok Blangah Street 31,#02-00 Yeo's Building,Singapore 108942,"Mon: closed
Tue-Fri: 10am to 9.30pm
Sat-Sun: 9.30am to 5.00pm",South West,info@buddhistfellowship.org,65 6278 0900
423,Joy Link,Non-Profit ,http://www.jiaying.org/joylink.html,"Joy Link is a Senior Activity Centre managed by Jia Ying Community Services Society. It is located at the void deck of Blk 19, Hougang Ave 3. We opened our doors since April 2004 and see more than 80 residents daily",Recreational and Leisure,"Karaoke,Line Dancing , Sit down exercise","Fri,Line Dancing-10am-12pm Thu , Sit down exercise-9.45am-10am Mon every morning. Karaoke every Wednesday( all activities may change every month)",1 and a half to 2 hours for each activity,NA, Free ,Joy Link,Blk 19 Hougang Ave 3,#01-187 ,Singapore 530019,"Mon-Fri 830-12, 130-530, Sat 830-1230 (except 1st Sat of the mth)",North East,enquiries@jiaying.org,62815025
424,Joy Link,Non-Profit ,http://www.jiaying.org/joylink.html,"Joy Link is a Senior Activity Centre managed by Jia Ying Community Services Society. It is located at the void deck of Blk 19, Hougang Ave 3. We opened our doors since April 2004 and see more than 80 residents daily",Volunteering Opportunities,"Elderly volunteers : •To share skills and co-lead a weekly programme for the elderly
•To assist in medical escort services 
•Befriending services for our home visitation project
",Weekly,Depending on programmes,Elderly, NA ,Joy Link,Blk 19 Hougang Ave 3,#01-187 ,Singapore 530019,"Mon-Fri 830-12, 130-530, Sat 830-1230 (except 1st Sat of the mth)",North East,enquiries@jiaying.org,62815025
425,Tzu Chi University Continuing Education Centre (Singapore),Non-Profit ,http://www.tzuchi.org.sg/eng/index.php?option=com_content&view=article&id=643&Itemid=534,"Tzu Chi University Continuing Education Centre (Singapore) operates within the premises of Tzu Chi’s Jing Si Hall in Pasir Ris. There are Flower Arrangement Classroom, Tea Appreciation Classroom and Multi Purpose Classroom designed to suit the needs of various courses offered by the Centre with antique furniture and elegant decoration creating a warm and welcoming environment for learning.

After the official opening of Tzu Chi Singapore’s Jing Si Hall on 30 October 2005, Tzu Chi University Continuing Education Centre (Singapore) was inaugurated on 18 December 2005. The opening ceremony was graced by Professor Chang Fu-Mei, Vice Principal of Tzu Chi University (TCU) and Mr Zeng Han-Rong, Director of TCU Continuing Education Centre (Taiwan). The Centre in Singapore is TCU’s fourth overseas Continuing Education Centre after Malacca, Kuala Lumpur and Penang.",Learning and Enrichment,health checks and seminars for the community from time to time,Depends on events organisations,Depends on events organisations,"No criteria, to general public", NA ,Tzu Chi University Continuing Education Centre (Singapore),9 Elias Road,,Singapore 519937 ,Not Provided,North East,info@tzuchi.org.sg,65829958
426,Tzu Chi University Continuing Education Centre (Singapore),Non-Profit ,http://www.tzuchi.org.sg/eng/index.php?option=com_content&view=article&id=643&Itemid=534,"Tzu Chi University Continuing Education Centre (Singapore) operates within the premises of Tzu Chi’s Jing Si Hall in Pasir Ris. There are Flower Arrangement Classroom, Tea Appreciation Classroom and Multi Purpose Classroom designed to suit the needs of various courses offered by the Centre with antique furniture and elegant decoration creating a warm and welcoming environment for learning.

After the official opening of Tzu Chi Singapore’s Jing Si Hall on 30 October 2005, Tzu Chi University Continuing Education Centre (Singapore) was inaugurated on 18 December 2005. The opening ceremony was graced by Professor Chang Fu-Mei, Vice Principal of Tzu Chi University (TCU) and Mr Zeng Han-Rong, Director of TCU Continuing Education Centre (Taiwan). The Centre in Singapore is TCU’s fourth overseas Continuing Education Centre after Malacca, Kuala Lumpur and Penang.",Volunteering Opportunities,"Community volunteer
Recycling volunteer
Home visit volunteer
Kitchen volunteer
Logistic volunteer
Transportation volunteer
Education volunteer
Documentation volunteer
Audio Visual volunteer 
And many more…………

","
Depends on volunteers programmes","
Depends on volunteers programmes","No age limit, program varies in terms of criteria", NA ,Tzu Chi University Continuing Education Centre (Singapore),9 Elias Road,,Singapore 519937 ,Not Provided,North East,info@tzuchi.org.sg,65829958
427,MydrumSchool,Private,http://www.mydrumschool.com/programmes/beginner/,"At My Drum School (“MDS”), we believe that the heartbeat of drumming begins with inspiration. Our programmes are created with creativity, innovation, originality, improvisation and extemporaneous drumming.",Recreational and Leisure,Drum lessons,"Depends on schedules, may range from once a week","Depends on courses, ranges from 2 hours to more",No age limit, <$500 ,MydrumSchool,Block 25 Jalan Berseh,#01-148,Singapore 200025,"Mondays - Fridays: 10am - 10pm
Saturdays: 9am - 10pm
( Closed on Sundays and Public Holidays )",Central,Not Provided,6396 6261
428,Cooking Class Singapore,Private,http://www.cookingclass-singapore.com/baking-classes/,"Being a group of people who have passion in food creation, we are committed to serving only the best cooking institutions in the country. We gather information from enquiries through the online portal to ensure that the service providers would match what the clients require. ",Recreational and Leisure,"Courses on Baking, Cooking and Mixology",Depends on schedules,"Depends on courses, on average 3 hours per session",need to register, <$750 ,Cooking Class Singapore,Not Provided,,Not Provided,Not Provided,NA,"Not Provided
(Please contact through website)",Not Provided
429,BakinCalf,Private,http://www.bakincalf.com/about/,"BakinCow is a cozy home-based business on the little sunny island of Singapore (Yishun area). And as 'little' as it is, she has huge passion in baking and teaching that you will cozy up very soon - but one that begins only after years of working for someone else's dough. So, one day, plucked with enough courage, and BakinCow was born to make her own - Dough.",Recreational and Leisure,Baking lesson,Depending on class,3 to 3.5 hrs depending on type of class,Depending on class, <$250 ,BakinCalf,Blk 257 Yishun Ring Road,#09-1013,Singapore 760257,Not Provided,North West,Not Provided,9068 4756
430,LessonsGowhere,Private,http://lessonsgowhere.com.sg/baking-lessons.html,"LessonsGoWhere.com.sg (LGW) is Singapore’s first online marketplace for FUN lessons!

We aim to provide users with a one-stop online location to select and book, as well as compare and review the widest selection of recreational lessons in Singapore, across all areas of interest and different vendors.",Recreational and Leisure,"Provide information to various topics e.g. Baking lesson, Cooking, music, Photography etc",Depends on class,Depends on class,Computer literate," <$1,000 ",LessonsGowhere,Not Provided,,Not Provided,Not Provided,NA,info@lessonsgowhere.com.sg,9450 1732
